lat,lon,ele_m,name
27.74101,88.15830,7350,Gimmigela I
27.65556,88.13108,7349,Talung
36.31968,75.03419,7343,Momhil Sar
35.52755,76.80895,7343,Ghent Kangri 2
36.27032,71.81500,7338,Tirich Mir West IV
36.54753,72.11552,7338,Saraghrar I
36.22702,75.36249,7330,Yutmaru Sar
36.40117,74.69609,7329,Bojohagur Duanasir
36.42719,74.68886,7329,Bojohaghur I
27.82763,89.26783,7326,ཇོ་མོ་ལྷ་རི 绰莫拉日峰
28.07052,86.63555,7321,Cho Aui II
27.77699,86.98106,7319,Chamlang
27.60848,88.11121,7318,Kabru South
35.91680,76.42822,7315,崇塔尔峰
35.64567,76.66567,7312,Baltoro Kangri
28.14789,86.68456,7309,四光峰
35.63238,76.68054,7300,Baltoro Kangri III
36.21588,75.25469,7297,Pumari Chhish South East
36.10928,76.20769,7295,皇冠山
29.81413,94.96938,7294,加拉白垒/སྐྱ་ལྷ་པད་རི
28.38947,85.71992,7292,勃隆利峰
36.43333,71.86842,7290,Shingeik Zom
34.84304,77.74078,7287,Plateau Peak (Saser Kangri V)
28.07477,86.64985,7287,Chamar
27.78967,87.02047,7287,Chamlang East
35.86636,76.44548,7286,?
35.94753,75.75197,7285,Baintha Brakk
35.41811,76.55182,7282,K6 Peak
28.55186,85.54491,7281,岗彭庆
38.26601,75.10445,7277,喀拉雄
35.63059,76.69328,7275,Baltoro Kangri V
28.06703,90.45987,7275,岗松土久
35.82766,76.36036,7273,慕士塔格塔峰 مز تاغ ٹاور
30.88029,79.61428,7272,Mana Peak
35.63821,76.67210,7270,Baltoro Kangri II
35.63324,76.67795,7270,Baltoro Kangri IV
28.70839,83.27320,7268,Dhaulagiri VI
36.12703,74.65979,7266,Diran
35.70472,76.72917,7250,乌尔多克第一峰
28.30169,86.38352,7250,Lapche Kang III
28.74792,83.14544,7246,Putha Hiunchuli
35.53610,77.16951,7245,Apsarasas Kangri I
35.55599,77.12840,7245,Apsarasas Ⅲ
35.53914,77.14979,7245,Apsarasas Kangri I
38.58702,75.29246,7245,?
36.49152,74.64502,7243,پسو سر‬
30.95077,79.56775,7242,Mukut Parbat
35.37482,77.36182,7233,Rimo III
28.55982,85.53889,7230,岗布峰
38.60111,75.23052,7229,姜满加尔
28.25662,85.51680,7227,लाङटाङ लिरुङ
27.78405,87.00922,7222,Chamlang Central
28.25809,90.64811,7221,卡热疆 I 峰
28.51840,83.80634,7219,Annapurna South
28.26094,90.64513,7216,卡热疆 II 峰
38.62773,75.15467,7215,?
28.06418,86.97729,7213,卡达普峰
35.59905,76.98321,7207,Singhi Kangri
28.18617,89.95647,7207,同山加布 I 峰
28.94795,90.18019,7206,宁金抗沙峰/གནོད་སྦྱིན་གངས་བཟང་།
28.38240,85.68395,7205,朗当日
28.15549,90.07761,7204,康普岗 I 峰
36.36515,75.14743,7202,Malunguttil Sar
36.34683,75.01049,7200,Lupghar Sar
42.03832,80.10715,7200,Обелиск
28.67410,83.27566,7193,Gurja Himal
28.60735,83.88644,7193,Tarke Kang
38.29587,75.12358,7184,科克萨依峰
27.97155,86.43062,7181,乔格茹 I 峰
36.08965,74.63479,7178,Dome of Dirran
27.77682,88.18269,7177,Nepāl Peak
35.37780,77.37976,7169,Rimo IV
35.31515,80.91614,7167,昆仑神女峰
30.38919,90.55921,7162,གཉན་ཆེན་ཐང་ལྷ་ 念青唐古拉峰 Nyainqêntanglha
27.87206,86.97965,7152,Baruntse
30.56091,80.01099,7151,Hardeol
35.61284,76.59797,7150,Snow Dome
35.72969,76.61370,7147,گاشر برم پنجم
28.15596,90.06529,7147,康普岗西峰
29.64899,95.02837,7146,朗加堡
35.92671,75.82480,7145,Latok I
36.62400,74.31657,7142,Kampire Dior
36.53644,71.98661,7140,Uldren Zom
28.60146,83.94107,7140,Asapurna
28.73633,84.41780,7140,Nimjung
27.82059,88.17300,7140,Patibhara
30.75032,79.28829,7138,Chaukhamba I
28.01585,86.82735,7138,普莫里峰 पुमोरी
33.98209,76.02437,7135,Nun
36.30211,75.13487,7134,Bularung Sar
35.82992,76.43417,7134,Praqpa Kangri
39.34367,72.87793,7134,южная вершина пика Ленина
28.68292,83.81148,7134,Tilicho Peak
27.96735,86.33450,7134,珠穆赤仁玛峰
30.00580,80.92916,7132,Api
39.34698,72.87918,7128,Ленин Чокусу / Қуллаи Ибни Сино
35.64837,76.27726,7127,Mandu Kangri
28.53070,83.82310,7126,?
28.77233,84.42180,7126,Himlung
27.95298,88.84252,7125,Pauhunri 堡洪里峰
28.17169,89.94236,7125,特里岗
30.31316,79.77765,7120,Trisul I
35.22716,74.55463,7120,Mazeno
28.71658,83.27639,7120,Gama Peak
36.44760,71.84881,7119,Darban Zom
28.30707,85.80642,7119,聂朗日峰
28.37890,85.05519,7118,Ganesh NW
30.37076,90.58462,7117,念青唐古拉 II 峰
30.38265,90.57541,7111,念青唐古拉 III 峰
35.70216,76.69210,7109,Gasherbrum I South
36.25049,75.21761,7108,Kunyang Chhish North
35.92232,75.80418,7108,Latok II
39.05688,72.00968,7105,Қуллаи Озодӣ
28.34521,85.07958,7104,Pabil
28.55509,84.94372,7100,Chamar
28.38640,85.71197,7100,?
29.81726,94.96084,7100,白拉日/དཔལ་ལྷ་རི།
27.94962,88.84183,7095,?
29.66219,95.13749,7095,桑龙
35.63296,76.78958,7093,Mt Hardinge
30.89364,79.59533,7092,Mana NW
35.68796,76.74595,7082,乌尔多克第二峰
28.72174,83.27652,7080,Junction Peak
28.11298,86.91649,7078,立新峰
34.01393,76.05661,7077,Kun
30.84953,79.21434,7075,Satopanth
30.58218,80.02003,7074,Tirsuli
35.25859,74.63748,7074,Rakhiot
36.57972,72.08278,7072,کوه لنگر
28.30460,86.32201,7072,Lapche Kang II
35.19454,77.58473,7071,Chong Kumdan Ri I
36.40210,71.87578,7070,Nobaism Zom
28.52888,84.52332,7069,Thulagi Chuli
28.60660,83.91116,7069,Tare Kang
30.51562,79.86626,7066,Dunagiri
28.68908,83.74406,7061,Nilgiri North
27.86598,92.53133,7060,Kangto 康格多
30.73812,79.27958,7058,Chaukhamba II
36.55538,71.98961,7058,Kohe Shakawr
28.11422,86.99371,7056,卡达章格里
28.54656,84.94727,7050,?
28.37284,85.72208,7050,利松 / 富曲峰
29.90243,90.02558,7048,穷母岗日/ཆུང་མོ་སྒང་རྩེ
28.16468,90.18321,7047,增康布岗 I
30.36822,90.60080,7046,念青唐古拉 IV 峰
28.56575,85.54319,7044,?
28.33640,85.12049,7043,Salasungo
29.61738,95.05395,7043,乃彭峰
35.44138,76.59427,7041,Link Sar
27.87327,88.09108,7041,Janak Chuli
34.81228,77.78399,7040,Sakang Peak
35.92596,76.17418,7038,竺可桢峰
36.67196,72.23054,7038,Shah Dhar
28.73493,84.36694,7038,Gyaji Kang
30.57987,80.00268,7035,Tirsuli West
28.86498,84.37524,7035,Ratna Chuli
27.94317,88.83940,7032,?
29.88813,81.49348,7031,Saipal
35.44178,77.18117,7030,Padmanabh
29.83324,84.61028,7030,冷布岗日/བློན་པོ་གངས་རི།
28.03462,86.75957,7029,红旗峰
38.23952,75.12558,7028,阔斯库拉克峰
36.05691,74.96429,7027,Spantik
27.92748,88.85959,7024,托成约路
28.12932,86.64466,7022,巴龙日 / 觉吾吓北峰
28.09983,90.42728,7021,良岗岗日北峰
28.30784,86.37498,7020,Lapche Kang III West
28.06745,86.95164,7018,向东峰
28.27259,90.64802,7018,卡热疆 III 峰
36.67173,72.23015,7017,Akher Tsagh
35.07790,77.63645,7016,Skyampoche Ri
36.65912,72.16162,7016,Koh-e Urgunt
36.64712,74.35890,7016,Pamir Sar
42.21081,80.17501,7010,Хан Тәңірі - Хан-Теңири - 汗腾格里峰
27.95613,86.33688,7010,?
27.74678,88.17793,7007,Gimmigela II
38.23190,75.10961,7005,?
35.19786,77.53894,7004,Chong Kumdan Ri II
38.66450,75.13019,7004,Аклангам
36.66334,72.20896,6995,Kohe Tez
28.58392,84.54914,6994,Manaslu North
28.49798,83.94588,6993,Machapuchare
30.53309,79.99803,6992,Rishi Pahar
27.93741,92.66633,6990,Katoe Gyang | Kara Daadi | 聂吉岗桑 / 推岗日
28.15609,90.19777,6988,增康布岗 II
35.95653,74.96158,6986,Laila Peak
28.03810,86.96975,6986,拉克巴日 ལྷག་པ་རི
27.87783,86.97359,6985,Kali Himal
28.14924,90.21880,6985,增康布岗 III
28.48951,84.18861,6983,Lamjung Himal
28.65816,84.30089,6981,Kang Guru
27.80121,89.36437,6980,Goulung Ghan
35.70875,76.63222,6979,Gasherbrum VI
28.19644,85.80019,6979,Loenpo Gang
38.58850,75.25688,6978,?
36.61197,75.07904,6977,Karun Koh
28.77326,83.24018,6975,Kaya Chuli
30.72386,79.27437,6974,Chaukhamba III
36.41298,87.38422,6973,木孜塔格山
27.93671,88.83704,6970,?
27.96833,86.42465,6967,?
28.11204,86.95339,6966,东方 I 峰
28.17541,85.77865,6966,Dorje Lhakpa
27.97172,86.41516,6965,乔格茹 II
27.85432,88.19607,6965,Langpo Peak
35.65162,82.31276,6962,?
-32.65315,-70.01196,6961,Cerro Aconcagua
27.75422,86.57265,6959,Numberchuli
35.80527,76.64872,6956,那布岗日
30.90370,93.78490,6956,色浦岗日/བསངས་ཕུ་གངས་རི།
35.73879,76.60062,6955,Gasherbrum VII
28.31646,86.28589,6952,Colangma
35.64901,82.33665,6952,?
36.57175,74.39632,6951,Sani Pakush
35.59234,76.60518,6950,Kaberi Kangri
34.88475,77.80204,6950,Chamshen Kangri
38.94637,72.00145,6950,Душанбе
36.42582,74.56020,6949,Sangemarmur
28.11236,86.96652,6948,东方 II 峰
35.91900,75.83927,6946,Latok III
28.14149,90.10054,6945,康普岗 II 峰
28.19425,90.34180,6944,各贾岗日
27.85779,86.55326,6943,Tengi Ragi Tau
35.84579,76.58779,6942,?
28.03765,86.77255,6942,红旗东峰 / 布尔克岗
30.79785,79.06629,6940,Kedarnath Main
31.03275,79.50307,6940,Saraswati Parvat I
35.40950,77.21806,6940,Mahashrung
38.51033,72.35220,6940,Истиклол
38.50897,72.36112,6940,Қуллаи Истиқлол
28.67838,83.73538,6940,Nilgiri Central
28.52086,84.14103,6938,?
29.66085,95.00070,6936,?
29.89392,81.50548,6935,Saipal East (Tiger Top)
35.46598,76.57480,6934,K7
35.17072,77.82851,6934,Shahi Kangri
36.65218,74.42487,6934,Kuk Sar
31.01695,79.17904,6932,Sri kailas
30.50302,79.93927,6931,Kalanka
-32.65856,-70.01765,6930,Cerro Aconcagua Sur
34.02200,76.07998,6930,Lingsarmo
27.89713,88.05431,6930,Lashar I
28.15752,90.29537,6930,安比康雄
35.32587,80.91384,6930,昆仑女神峰Ⅱ
28.09062,86.81196,6927,红星峰
27.95036,88.17775,6927,曲登尼玛 Chorten Nyima
34.86201,77.87988,6925,Chhushku Kangri
36.02750,75.44783,6922,?
28.76508,83.23783,6921,?
36.65556,72.17639,6920,Koh-e Shaq
28.74495,83.55741,6920,Tukuche Peak
28.26012,85.49867,6918,Luri Himal
42.04501,80.08081,6918,聂鲁峰 Важа Пшавела
28.06913,86.89776,6916,长征峰
28.19268,89.97449,6916,同山加布 II 峰
27.87645,86.97020,6912,?
30.46765,81.29955,6912,纳木那尼 II
30.52794,79.96754,6911,Saf Minal
27.92921,88.83730,6911,Chijolabgye
30.98883,79.53007,6910,Chamrao Parvat
38.50083,72.35754,6910,пик Революции Южный
38.21008,75.14069,6910,?
28.72658,83.25736,6910,?
28.14485,90.02442,6910,杰杰康普岗
39.05244,72.01690,6909,Пик Корженевской Южный
28.36973,85.06147,6908,Ganesh V
28.08026,86.82520,6907,铜墙峰
30.86055,78.99469,6904,Thalaiyasagar
30.21390,80.42590,6903,Panchchuli II
35.38508,81.10391,6903,?
28.06679,90.50601,6902,珍康日 / 梅隆吉岗 Zhen Kangri / Melunghi Kang
28.17205,90.06231,6902,什磨日
30.46061,81.35376,6902,古纳拉
36.77543,72.44006,6901,?
36.77750,72.43722,6901,Lunkho-e-Hawar
35.22039,74.52081,6900,?
35.21950,74.52739,6900,?
28.89656,84.26007,6900,?
34.94110,78.18265,6897,Kataklik Kangri I
28.51160,84.16293,6897,?
28.05154,86.54974,6895,Lunag Ri
27.92632,87.05438,6893,查戈
36.65704,72.18879,6892,Koh-e Shayoz
28.21174,85.77363,6891,多尔雪山
28.37342,85.82352,6891,热强 I
38.20422,75.11297,6890,?
27.90977,92.62671,6890,Kawang Gyang | Chomo | 绰莫 I
29.89373,81.03200,6890,?
27.98508,88.65512,6889,Kangchengyao
27.71123,88.31775,6888,Siniolchu
28.67285,83.73561,6887,?
29.63785,101.92323,6886,中山峰
29.37597,82.63788,6883,Kānjirobā
28.06235,92.66372,6883,?
35.73720,76.58267,6882,Twins
29.16647,96.72208,6882,白日嘎
27.82438,88.10082,6881,Drohmo
38.89637,72.03032,6875,Россия
35.33074,80.92870,6875,昆仑神女峰Ⅲ
42.05374,80.24977,6873,台兰西峰
36.73034,73.23963,6872,Koyo Zom
29.88736,81.49214,6872,?
36.45170,74.47082,6870,Hachindar Chhish
30.30256,93.65250,6870,乃朗峰/གནས་ནང་རི
36.77556,72.39333,6868,Lunkho-e-Dosare
28.24911,85.74790,6865,Ramthang Karpo Ri
30.50044,79.92667,6864,Changabang
35.14823,77.62066,6864,Thangman Kangri
35.39868,77.31414,6863,Terong Kangri
28.34639,85.10854,6863,?
30.28108,80.06678,6861,Nanda Kot
28.07501,86.76504,6861,努普拉岗峰
27.88743,88.06278,6860,Lashar II
36.02494,90.86677,6860,布喀达坂峰
29.76622,82.75002,6859,卡却岗日
28.01364,86.78783,6859,Chumbu
38.20718,75.13207,6858,扩扩色勒峰
27.83950,88.20142,6857,Langpo South
30.85015,79.14691,6856,Bhagirathi 1
30.28974,79.82925,6855,Mrigthuni
30.86637,79.64870,6855,Deoban
27.82077,88.10602,6855,?
30.72296,79.25633,6854,Chaukhamba IV
27.75765,86.59532,6853,Khatang
28.05409,86.90443,6852,尖兵峰
35.64176,76.54571,6851,Khumil Gri
35.46270,77.17609,6850,Lakshmi
42.03502,80.15086,6850,Советской Армении
29.88152,81.04077,6850,Jethi Bahurani
36.82889,72.42861,6849,Koh-e Hevad
28.43456,85.65921,6846,达曲峰/普热普日
29.82369,94.87141,6846,支巴岗日/གྲིབ་པ་གངས་རི།
38.50564,72.32143,6842,26 Бакинских Комиссаров
39.31754,72.88487,6842,пик Маршала Жукова
30.34339,93.91518,6842,曲果/ཚུ་མགོ།
38.97341,72.05122,6841,пик Известий
28.65411,83.72965,6839,Nilgiri South
27.81790,87.00939,6833,Hongku Chuli
30.81032,79.07642,6831,Kedarnath Dome
36.13987,75.43897,6831,Kanjut Sar II
38.51257,72.35836,6831,Истиклол Шимол
35.32269,74.67520,6830,Chongra
35.32319,74.68982,6830,Chongra
28.03411,88.54586,6829,确母约母清/卓木玉莫峰 Chomo Yummo
36.59250,72.03278,6827,Languta-e Barfi
35.02664,77.14822,6826,La Yongma Ri
36.05817,74.74117,6824,Emerald Peak
36.04745,74.82625,6824,Miar Peak
35.99611,76.76652,6824,Durbin Kangri I
28.27766,90.63265,6824,卡热疆 IV 峰
28.01903,86.78981,6822,琼布北峰
31.69767,85.06189,6822,ཤར་གངས་ཅན 夏康坚
35.85909,76.83256,6821,Burnag Kangri
34.90219,78.20768,6820,Kataklik Kangri II
31.88547,78.74128,6816,Reo Purgyil
42.05344,80.24249,6816,?
28.33124,85.16283,6816,Ganesh VI
36.54646,71.93816,6815,Kohe Nadir Shah
42.06573,80.28405,6814,台兰峰
27.86210,86.86043,6814,Ama Dablam
28.23652,90.31159,6814,色曲的岗日
36.17927,70.98335,6812,کوه بندکا
27.67876,88.24052,6812,Simvo
29.83979,94.94342,6812,森塘布
27.68018,88.23084,6811,?
35.67361,76.40631,6810,Gondogoro Ri
35.91477,76.88886,6810,Kaimuk Kangri
28.75395,83.54651,6810,?
27.84395,89.33531,6809,吉楚锥柯
29.95757,81.01940,6808,Bobaye
30.78063,79.24000,6805,Janhukut
28.67498,84.32876,6805,?
29.20216,96.69519,6805,洛布青峰
27.95902,88.16247,6804,吉吾邦  (曲登尼玛 II) Gyiubang (Chorten Nyima II)
27.98048,88.12140,6804,射强
30.27118,79.87185,6803,Maiktoli
31.00708,79.12961,6803,Sri Kailas West
35.84907,76.49117,6802,Angelus
27.76560,88.08359,6802,Ramthang Chang
27.93939,86.52329,6801,Drangnag Ri
34.02883,76.08170,6800,P 6800
35.93289,75.76426,6800,Ogre II
42.12242,80.26749,6800,友谊峰 - دوستلۇقنىڭ يۇقىرى پەللىسى
30.96483,79.21220,6796,Pilapani Parvat
30.94912,79.24168,6794,Mana Parbat I
32.53069,78.39511,6794,盖亚山 Gya
30.87569,79.17601,6792,Vasuki Parvat
36.28874,76.38491,6792,Surukwat Kangri
28.01939,86.81467,6792,康里东峰
27.88681,87.98466,6792,?
31.90223,78.74275,6791,Leo Pargial/列俄帕尔格阿勒峰/ ལྷས་འོག་བར་གད་ཡ་ལེགས་རི/列俄帕尔格阿勒峰
42.06251,80.29462,6790,?
34.60581,77.89981,6789,Arganglas Kangri
30.28731,79.85025,6788,Devtoli
27.85628,88.17785,6786,Langchung Khang
36.02993,74.86517,6785,Juto Sar
38.94841,71.83399,6785,Москва
28.36295,91.13464,6785,打拉日/དར་ལྷ་རི
27.79302,86.81748,6783,Kangtega
35.67658,76.39421,6781,بیارچیڈی
34.78409,78.41664,6780,加勒万冈日峰
39.32956,72.97042,6780,Октябрьский пик
28.66304,84.32264,6780,?
28.04307,86.56329,6778,Jobo Rinjang
35.37145,81.17756,6778,?
31.01464,79.50794,6775,Saraswati Parvat II
30.88114,79.00298,6772,Bhrigupanth
35.80212,76.23774,6772,Biale Kangri
28.33140,85.16117,6772,扎拉松果康日
30.95138,79.25450,6771,Mana Parbat II
27.87501,86.50888,6771,Takargo
30.83846,79.20065,6770,?
35.95525,74.93628,6770,Laila Peak West
28.71191,83.47006,6770,?
35.72867,76.08859,6769,Choricho
42.23418,80.36556,6769,却勒博斯峰
27.75488,86.82233,6769,Kyashar
28.44492,85.64541,6769,普热峰/岗普日
-9.12123,-77.60430,6768,Huascarán Sur
-9.10173,-77.62122,6768,Huascarán Norte
28.65862,85.43172,6767,Chalung Ri
28.17210,90.22742,6766,增康日
27.82544,86.97708,6764,Hongku Chuli West
28.93025,90.17512,6763,?
42.03737,80.19803,6762,小台兰峰
28.37537,85.83774,6761,热强 II
30.96545,79.54752,6760,?
38.86756,75.10745,6760,阿依拉尼什雪山
29.38530,82.64227,6760,?
-28.01882,-68.75629,6759,Cerro Bonete Chico
28.88899,84.12688,6759,Khumjungar
27.77293,87.09937,6758,Tutse
28.29926,85.73602,6757,Pemthang Ri
35.20856,76.98865,6754,چومیک
35.54820,76.86774,6754,The Hawk
28.15721,87.05760,6753,德生峰 / 切弄日
27.86317,86.99048,6752,?
34.61906,78.07781,6751,Kunchang Kangri
28.79033,83.23801,6750,?
28.88725,84.29438,6750,?
27.89687,87.96414,6750,?
27.89589,88.07948,6750,?
28.00382,88.04911,6750,?
36.72407,84.60218,6748,四岔雪峰
42.05043,80.29418,6747,台兰南峰
36.18587,70.98037,6745,?
36.58921,71.90775,6745,Kōh-e Keshnī Khān
30.04305,81.10704,6744,Yokapahad I
27.87121,86.95610,6740,Amphu I
28.43940,98.68438,6740,卡瓦格博峰
30.87170,79.25734,6739,Chandra Parbat
27.95724,87.01520,6739,白当策 པེ་ཐང་རྩེ पेथाङ्त्से
27.82392,87.04706,6736,Peak 4
34.09552,79.84026,6735,太冬杰久
27.90710,86.44162,6735,康拉
27.91945,86.98199,6735,Cho Polu
28.06929,90.40934,6734,?
28.93187,90.15788,6733,舵果龙峰
27.91747,92.60777,6733,Chomo II 绰莫 II
27.96490,88.14466,6731,康甲朗 Kang Gyalang
30.95503,79.22044,6730,Mana Parvat West
29.90142,81.45601,6730,?
30.00590,80.99358,6729,Nampa
30.88236,79.24809,6728,Chandra Parbat NW
28.18547,90.16845,6728,晓拉日 I 峰
30.68309,79.70638,6727,Hathi Parbat
